"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelNursingPrescription","BeModelNursingPrescription","","","",0,*,"","","","null {[]} {[]}
","BeModelNursingPrescription","Data model for the nursing prescription referral.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelNursingPrescription.identifier","BeModelNursingPrescription.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Business identifier of the request","Business identifier of the request","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.identifier",0,1,"",""
"BeModelNursingPrescription.shortCode","BeModelNursingPrescription.shortCode","","","",0,1,"","","","Identifier {[]} {[]}
","Business code allowing the healthcare professional to find a prescription associated with a patient","Business code allowing the healthcare professional to find a prescription associated with a patient","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.shortCode",0,1,"",""
"BeModelNursingPrescription.recordedDate","BeModelNursingPrescription.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date of recording of the information by the Recorder.","Date of recording of the information by the Recorder.","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.recordedDate",1,1,"",""
"BeModelNursingPrescription.creationDate","BeModelNursingPrescription.creationDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date of creation of the referral prescription","Date of creation of the referral prescription. This date will not change throughout the process. This date corresponds to the first recordedDate recorded for this referral prescription.","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.creationDate",1,1,"",""
"BeModelNursingPrescription.patient","BeModelNursingPrescription.patient","","","",1,1,"","","","Identifier {[]} {[]}
","Identification of the patient. The unique identifier must be: NISS, National Registry Number or Bis Patient","Is the unique identifier of the patient. The unique identifier must be: NISS, National Registry Number or Bis Patient","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.patient",1,1,"",""
"BeModelNursingPrescription.author","BeModelNursingPrescription.author","","","",1,1,"","","","Identifier {[]} {[]}
","The person who encodes the prescription (e.g. a doctor, nurse, midwife or dentist) and takes responsibility for their content. The unique identifier must be: NISS, National Registry Number or Bis Requester","Is the unique identifier of the person who encodes the prescription (e.g. a doctor, nurse, midwife or dentist) and takes responsibility for their content. The unique identifier must be: NISS, National Registry Number or Bis Requester","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.author",1,1,"",""
"BeModelNursingPrescription.status","BeModelNursingPrescription.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Is the status of the referral prescription (e.g. planned, complete, stopped, suspended, in progress, ….)","Is the status of the referral prescription (e.g. planned, complete, stopped, suspended, in progress, ...)","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.status",1,1,"",""
"BeModelNursingPrescription.statusReason","BeModelNursingPrescription.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Gives the reason for the status of the referral prescription (treatment has been changed, patient is allergic, patient refuses, …)","Gives the reason for the status of the referral prescription (treatment has been changed, patient is allergic, patient refuses, ...)","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/drp/ValueSet/be-vs-prescription-status-reason","",,,,"BeModelReferralPrescription.statusReason",0,1,"",""
"BeModelNursingPrescription.careRequested","BeModelNursingPrescription.careRequested","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of care requested (e.g. 'Compression therapy', 'Sample collection', CT Scan).","Type of care requested (e.g. 'Compression therapy', 'Sample collection', 'CT Scan').","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/drp/ValueSet/be-vs-bodysite-nursing","",,,,"BeModelReferralPrescription.careRequested",1,1,"",""
"BeModelNursingPrescription.description","BeModelNursingPrescription.description","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Additional details on the requested care","Additional details on the requested care","","","","","","","","","",,,,,"",,,,"BeModelReferralPrescription.description",0,1,"",""
